State,Population,Population_per_1000,Gun_Laws,Total_annual_crimes,annual_crime_per_1000,No._of_registered_guns,Guns_per_1000,Population_Density(Popl/land_area),Drug_score,unemployment_rate(%),income_per_capita,Percent_of_serious_mental_illness(%),high_school_dropout _rate(%)
Alabama,4777326,4777.33,10,22952,4.80,161641,33.84,94.40,34.59,3.70,23606,4.21,1.40
Alaska,711139,711.14,3,5392,7.58,15824,22.25,1.20,47.72,7.00,33062,4.18,7.00
Arizona,6410979,6410.98,8,28012,4.37,179738,28.04,56.30,41.79,3.90,25715,4.25,5.90
Arkansas,2916372,2916.37,11,15526,5.32,79841,27.38,56.00,46.77,3.50,22883,5.20,3.20
California,37325068,37325.07,107,166883,4.47,344622,9.23,239.10,38.08,3.70,30441,3.79,4.00
Colorado,5042853,5042.85,30,17515,3.47,92435,18.33,48.50,49.58,2.40,32357,3.90,4.90
Connecticut,3572213,3572.21,90,7845,2.20,42800,11.98,738.10,45.00,4.30,39373,3.43,2.10
Delaware,900131,900.13,40,4720,5.24,4852,5.39,460.80,47.85,3.40,30488,3.99,3.50
District of Columbia,693972,693.97,64,1244,1.79,47228,68.05,9856.50,62.97,5.20,45877,3.78,5.80
Florida,18885152,18885.15,21,93626,4.96,343288,18.18,350.60,42.08,3.40,26582,3.86,2.10
Georgia,9714569,9714.57,6,38643,3.98,19050,1.96,168.40,38.44,3.50,25615,3.99,3.90
Hawaii,1362730,1362.73,79,4201,3.08,7859,5.77,211.80,33.62,2.00,29736,3.43,4.70
Idaho,1567803,1567.80,2,3568,2.28,49566,31.61,231.10,35.43,2.50,23938,4.79,1.90
Illinois,12823860,12823.86,65,49354,3.85,146487,11.42,231.10,44.38,3.50,30417,3.42,2.40
Indiana,6485530,6485.53,12,25653,3.96,114019,17.58,181.00,51.69,3.20,25140,4.71,2.10
Iowa,3047646,3047.65,24,8936,2.93,28494,9.35,54.50,29.90,2.20,28361,4.45,3.20
Kansas,2851183,2851.18,4,11353,3.98,52634,18.46,34.90,33.17,3.30,27870,4.12,2.10
Kentucky,4340167,4340.17,7,9676,2.23,81068,18.68,109.90,50.57,4.20,23684,4.96,2.50
Louisiana,4529605,4529.61,13,25208,5.57,116831,25.79,104.90,43.77,4.70,24800,4.27,5.70
Maine,1329084,1329.08,11,1729,1.30,15371,11.57,43.10,47.33,3.00,27978,4.96,3.20
Maryland,5785496,5785.50,64,27462,4.75,103109,17.82,594.80,46.70,3.90,36338,3.31,3.80
Massachusetts,6560595,6560.60,101,26562,4.05,37152,5.66,839.40,49.99,3.30,36593,4.03,2.50
Michigan,9897264,9897.26,21,41231,4.17,65742,6.64,174.80,55.35,3.80,26613,4.53,6.90
Minnesota,5313081,5313.08,41,13319,2.51,79307,14.93,66.60,27.03,2.50,32638,4.32,1.90
Mississippi,2967620,2967.62,2,8254,2.78,35494,11.96,63.20,39.20,5.10,21036,4.72,3.20
Missouri,5982413,5982.41,2,30261,5.06,72996,12.20,87.10,57.73,3.30,26126,4.87,1.90
Montana,990785,990.79,4,3611,3.64,22133,22.34,6.80,45.96,3.00,25989,4.39,4.10
Nebraska,1827306,1827.31,22,5212,2.85,22234,12.17,23.80,34.64,2.80,27446,4.44,2.20
Nevada,2704204,2704.20,21,20118,7.44,76888,28.43,24.60,45.66,4.20,25773,4.33,3.90
New Hampshire,1317474,1317.47,9,2652,2.01,62135,47.16,147.00,55.65,2.60,34691,4.65,1.30
New Jersey,8793888,8793.89,75,22879,2.60,57507,6.54,1195.50,42.53,3.70,37288,3.46,1.40
New Mexico,2055287,2055.287,10,13681,6.656491283,97580,47.47755423,17,52.14,4.1,23683,4.23,6.4
New York,19398125,19398.125,76,75165,3.874859039,76207,3.928575571,411.2,44.48,3.7,33095,3.74,3.8
North Carolina,9544249,9544.249,30,34852,3.651623087,152238,15.95075736,196.1,41.51,3.7,25774,4.85,3.1
North Dakota,676253,676.253,10,1812,2.679470553,13272,19.62579094,9.7,33.36,2.2,33071,4.04,3
Ohio,11533561,11533.561,16,33898,2.939074931,173405,15.03481882,282.3,46.66,4.2,26937,4.74,4.6
Oklahoma,3749005,3749.005,9,10468,2.792207532,71269,19.01011068,52.7,39.35,3.9,25229,4.59,2.5
Oregon,3836628,3836.628,37,12475,3.251553187,61383,15.99920555,39.9,48.42,3.5,27646,4.83,3.4
Pennsylvania,12699589,12699.589,37,40339,3.176402008,236377,18.61296456,283.9,50.54,3.7,29220,4,2.8
Rhode Island,1052471,1052.471,53,2562,2.434271348,4223,4.012462101,1018.1,50.99,3.8,30830,4.98,4.2
South Carolina,4630351,4630.351,12,24700,5.33436882,105601,22.80626242,153.9,40.76,2.8,24596,4.35,2.5
South Dakota,815871,815.871,5,3289,4.031274552,21130,25.89870212,10.7,39.37,2.9,26959,3.7,3.1
Tennessee,6353226,6353.226,22,40400,6.358974165,99159,15.60766137,153.9,48.78,3,24922,4.52,3.7
Texas,25208897,25208.897,18,113227,4.491549154,588696,23.35270758,96.3,39.1,3.7,27125,3.84,2.5
Utah,2766233,2766.233,13,7071,2.556183807,72856,26.33762232,33.6,30.05,2.8,24877,5.17,1.5
Vermont,625498,625.498,6,739,1.181458614,5872,9.387719865,67.9,45.77,2.6,29178,5.28,2.5
Virginia,8014955,8014.955,13,16399,2.046050165,307822,38.40595487,202.6,38.61,2.9,34052,3.98,1.9
Washington,6738714,6738.714,43,20394,3.026393463,91835,13.62797115,101.2,36.85,4.4,31841,4.72,3.8
West Virginia,1850481,1850.481,18,6231,3.367232628,35264,19.05666689,77.1,53.98,5.1,22714,5.53,2.7
Wisconsin,5687219,5687.219,23,17647,3.102922536,64878,11.40768449,105,38.2,2.6,28213,4.14,1.9
Wyoming,562803,562.803,6,1302,2.313420504,132806,235.9724451,5.8,49.14,3.8,29698,4.3,4.3